,,S_TEND_PREFIX,S_TEND_SUFFIX,S_PLURAL_PREFIX,S_PLURAL_SUFFIX,S_PLURAL_WORD,S_DEFINITE_AFFIX,S_DEFINITE_WORD,S_INDEFINITE_AFFIX,S_INDEFINITE_WORD,S_CASE_PREFIX,S_CASE_SUFFIX,S_CASE_PROCLITIC,S_CASE_ENCLITIC,S_COMITATIVE_VS_INSTRUMENTAL_MARK,S_NUMCLASS_MARK,S_POSS_PREFIX,S_POSS_SUFFIX,S_ADJECTIVE_WITHOUT_NOUN,S_PERFECTIVE_VS_IMPERFECTIVE_MARK,S_PAST_VS_PRESENT_MARK,S_FUTURE_AFFIX,S_TAM_PREFIX,S_TAM_SUFFIX,S_SUBJECT_BEFORE_VERB,S_SUBJECT_BEFORE_OBJECT,S_OBJECT_AFTER_VERB,S_SUBJECT_AFTER_VERB,S_OBLIQUE_AFTER_VERB,S_OBLIQUE_AFTER_OBJECT,S_OBLIQUE_BEFORE_VERB,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_GENITIVE_BEFORE_NOUN,S_GENITIVE_AFTER_NOUN,S_ADJECTIVE_BEFORE_NOUN,S_ADJECTIVE_AFTER_NOUN,S_DEMONSTRATIVE_WORD_BEFORE_NOUN,S_DEMONSTRATIVE_WORD_AFTER_NOUN,S_DEMONSTRATIVE_PREFIX,S_DEMONSTRATIVE_SUFFIX,S_NUMERAL_BEFORE_NOUN,S_NUMERAL_AFTER_NOUN,S_RELATIVE_BEFORE_NOUN,S_RELATIVE_AFTER_NOUN,S_RELATIVE_AROUND_NOUN,S_DEGREE_WORD_BEFORE_ADJECTIVE,S_DEGREE_WORD_AFTER_ADJECTIVE,S_POLARQ_MARK_INITIAL,S_POLARQ_MARK_FINAL,S_POLARQ_MARK_SECOND,S_POLARQ_WORD,S_POLARQ_AFFIX,S_SUBORDINATOR_WORD_BEFORE_CLAUSE,S_SUBORDINATOR_WORD_AFTER_CLAUSE,S_SUBORDINATOR_SUFFIX,S_PROSUBJECT_WORD,S_PROSUBJECT_AFFIX,S_PROSUBJECT_CLITIC,S_NEGATIVE_AFFIX,S_NEGATIVE_WORD,S_NEGATIVE_WORD_BEFORE_VERB,S_NEGATIVE_WORD_AFTER_VERB,S_NEGATIVE_WORD_ADJACENT_BEFORE_VERB,S_NEGATIVE_WORD_ADJACENT_AFTER_VERB,S_NEGATIVE_WORD_BEFORE_SUBJECT,S_NEGATIVE_WORD_AFTER_SUBJECT,S_NEGATIVE_WORD_BEFORE_OBJECT,S_NEGATIVE_WORD_AFTER_OBJECT,S_NEGATIVE_WORD_INITIAL,S_NEGATIVE_WORD_FINAL,S_NEGATIVE_PREFIX,S_NEGATIVE_SUFFIX,P_VOICE,P_VOICED_PLOSIVES,P_VOICED_FRICATIVES,P_EJECTIVES,P_IMPLOSIVES,P_GLOTTALIZED_RESONANTS,P_UVULAR_STOPS,P_UVULAR_CONTINUANTS,P_LATERALS,P_LATERAL_L,P_LATERAL_OBSTRUENTS,P_NASAL_VOWELS,P_FRONT_ROUND_VOWELS,P_BILABIALS,P_FRICATIVES,P_NASALS,P_LABIAL_VELARS,P_CLICKS,P_TH,P_PHARYNGEALS,P_CC_ONSETS,P_CL_ONSETS,P_COMPLEX_CODAS,P_TONE,S_OBJECT_HEADMARK,S_OBJECT_DEPMARK,S_TEND_HEADMARK,S_TEND_DEPMARK,S_ANY_REDUP,S_GENDER_MARK,S_SEX_MARK,S_OBJECT_BEFORE_VERB,P_VELAR_NASAL,P_VELAR_NASAL_INITIAL,S_POSS_HEADMARK,S_POSS_DEPMARK,P_CODAS,S_SUBJECT_AFTER_OBJECT,S_OBLIQUE_BEFORE_OBJECT
aal,,0.3,0.9,0,0.666666667,0.333333333,0.444444444,0.555555556,0.25,0.5,0,0,0,0,0.5,0,0,1,1,1,0,1,0.5,0.166666667,1,1,1,1,1,1,1,1,0.0625,0,1,0.125,0.9375,0.133333333,0.8,0,0.133333333,0,1,0,1,0,0,1,0,0.923076923,0,0.923076923,0,0.9,0.1,0,0.8,0.2,0,0.083333333,0.916666667,0.133333333,0.866666667,0,0,0.090909091,0.818181818,0.090909091,0.818181818,0.076923077,0.846153846,0,0.066666667,1,1,0.666666667,0.333333333,1,0,0,0,1,1,0.666666667,0,0,1,1,1,0.333333333,0,0,0,0,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
aar,,0,1,0,1,0,0.25,0,0,0,0,0.666666667,0,0,1,0,0,0.333333333,0.5,0.666666667,0.666666667,0.333333333,0,1,1,1,0.5,0.5,0.5,1,1,0.25,1,0.5,0.666666667,0.166666667,0.833333333,0.2,0.6,0,0.2,0.333333333,0.666666667,0.2,0.8,0,1,0,0,0,0,0.333333333,0,1,0,0,0.5,0.5,0,0,1,0.75,0,1,0,0,1,0,1,0,0,0.25,0.5,1,1,0.5,0.5,0.5,0,0.5,0,1,1,0,0,0,1,1,1,0,0,0,0.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0.5,0.5,0.5,0.5,0.5
aau,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0,1,0,1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
abb,,0.964285714,0.107142857,0.983333333,0.016666667,0,0.043478261,0.565217391,0,0.125,0.555555556,0,0.111111111,0,0.625,0,0.03125,0.53125,1,0.571428571,1,0.714285714,0.914285714,0.085714286,1,1,1,1,1,1,1,0.986111111,0.027777778,0,1,0.02970297,1,0.105263158,0.894736842,0,0,0.057142857,1,0,1,0,0.25,0.833333333,0.096774194,0.516129032,0,0.725,0,1,0,0,0.176470588,0.823529412,0,0.763888889,0.25,0.252525253,0.252525253,0.054794521,0.068493151,0,0.129032258,0.064516129,0.064516129,0,0.150684932,0.696969697,0.111111111,1,0.733333333,0.733333333,0.133333333,0.066666667,0,0,0,0.8,0.666666667,0.066666667,0,0.066666667,1,1,1,0.2,0.133333333,0.066666667,0,0,0.769230769,0,0.933333333,1,0,0,0,1,1,0,1,0.5,0.5,0,1,0,0.5,0.5
abj,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,1,0,0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5
abk,,1,1,0,1,0,0.75,0.25,0.5,0.5,0,0.5,0,0.25,1,0,1,0,1,1,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0.333333333,0.666666667,0.5,0,0.5,0,1,0.5,1,0,0,1,0,0,0,0,0,0.666666667,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,1,1,1,1,0,0,1,0.5,1,0.5,0.5,0,0,1,1,1,0,0,0.5,1,0.5,0.5,0.5,0,1,0,1,0,1,1,1,1,0,0,1,0,0.5,0.5,0.5
abq,,1,1,0,1,0,0.75,0.25,0.5,0.5,0,0.5,0,0.25,1,0,1,0,1,1,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0.333333333,0.666666667,0.5,0,0.5,0,1,0.5,1,0,0,1,0,0,0,0,0,0.666666667,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,1,1,1,1,0,0,1,0.5,1,0.5,0.5,0,0,1,1,1,0,0,0.5,1,0.5,0.5,0.5,0,1,0,1,0,1,1,1,1,0,0,1,0,0.5,0.5,0.5
abt,,0,1,0,0.5,0.5,0,0.5,0,0,0,0.333333333,0,0.666666667,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0,1,0,1,0,0,0,0.666666667,0.666666667,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.5,0,1,1,1,0,0,0,0,0,1,0,0.5,0,1,0,1,0.5,0.5,0.5,1,0,0,0,1,0.5,0.5,0.5
abz,,0.5,0.5,0,0,1,0,1,0.5,0.5,0,0,0,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0,0.5,1,1,0.5,0.5,0.5,1,1,0.333333333,0.666666667,1,0,0,1,0.333333333,0.666666667,0,0,0,1,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.333333333,0.666666667,0.666666667,0.666666667,0,0.666666667,0,0.5,0,0.5,0,0,0,0.333333333,1,1,0,0,0,0,0,0,1,1,0,0.5,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0.5,0.5,0.5,1,0.5,0.5,1,0,0.5,0.5,0.5
aca,,0.571428571,1,0,1,0,0,0.75,0,0.666666667,0,0.428571429,0,0.285714286,1,0.5,1,0,0.5,1,0,1,0,1,1,1,1,1,1,1,0.5,0.333333333,0.666666667,0.7,0.3,0.444444444,0.666666667,0.777777778,0.222222222,0,0,1,0,0.2,1,0.2,0,1,0.333333333,0,0,0.333333333,0,0.5,0.5,0,0,1,0,0.25,0.75,0.75,0.125,0.714285714,0,0.5,0.333333333,0.833333333,0,0.142857143,0,0.125,0.25,0.5,0.5,0,0,0.25,0,0,0,0.5,0,0,0.5,0,1,1,1,0,0,0,0,0,1,0,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,0.5
